authors	url (pdf)	licence	title	keywords
Ables, Mollie Kathleen; Gniady, Tassie; Craig, Kalani; Thomas, Grace; Hochstetter, Adam	https://dh2017.adho.org/abstracts/615/615.pdf	cc-by	Using Archival Texts to Create Network Graphs of Musicians in Early Modern Venice	networks, archives, Venice, musicians
Aguiar, Daniella; Queiroz, Joao; Casteloes, Luiz	https://dh2017.adho.org/abstracts/581/581.pdf	cc-by	VIA: video-dance, computer-assisted composition and mobile technology	videodance, computer-assisted composition, mobile technology
Akbari, Suzanne; Bolintineanu, Alexandra	https://dh2017.adho.org/abstracts/608/608.pdf	cc-by	Getting Medieval: Open Access and Networked Pedagogy	medieval studies, pedagogy, digital collections, networked teaching, open access
Akdag Salah, Alkım Almıla; Salah, Albert Ali	https://dh2017.adho.org/abstracts/490/490.pdf	cc-by	Tracing the Colors of Clothing in Paintings with Image Analysis	Color tracing, clothing color, gender recognition on paintings, face detection on paintings
Akça, Sümeyye	https://dh2017.adho.org/abstracts/501/501.pdf	cc-by	How does Google Cultural Institute Affect the Collections of Museums? The Case of Turkey	Google Cultural Institute, Information and communication technologies (ICT), visibility, access
Alexander, Marc; Struan, Andrew	https://dh2017.adho.org/abstracts/007/007.pdf	cc-by	Digital Hansard – Politics and the Uncivil	history, politics, Hansard, corpora, Historical Thesaurus
Algee-Hewitt, Mark Andrew; McClure, David; Walser, Hannah	https://dh2017.adho.org/abstracts/416/416.pdf	cc-by	Reconstructing Readerly Attention: Citational Practices and the Canon, 1789-2016	sequence alignment, reception theory, text mining, narrative studies
Anderson, Mark; Scates Kettler, Hannah	https://dh2017.adho.org/abstracts/323/323.pdf	cc-by	Coffee Zone: Del cafetal al futuro / From the coffee fields to the future	Spanish, transcription, translation
Applegate, Matt	https://dh2017.adho.org/abstracts/190/190.pdf	cc-by	Digital Humanities as Critical University Studies	Critical University Studies, Decolonial Feminism, Autonomist Marxist, Critical Infrastructure Studies
Ares Oliveira, Sofia; Kaplan, Frederic; di Lenardo, Isabella	https://dh2017.adho.org/abstracts/169/169.pdf	cc-by	Machine Vision Algorithms On Cadaster Plans	computer vision, image processing, cadasters, maps
Armaselu, Florentina; Jones, Catherine Emma	https://dh2017.adho.org/abstracts/547/547.pdf	cc-by	From Usability Testing and Text Analysis to User-Response Criticism	Human-Computer Interaction, usability tests, text analysis, digital aesthetics
Armoza, Jonathan Ilan	https://dh2017.adho.org/abstracts/238/238.pdf	cc-by	How to Close Read a Topic Model: TWiC Reads Emily Dickinson&#8217;s Fascicles	topic modeling, close reading, distant reading, bibliography, nineteenth century american
Arnold, Taylor Baillie; Tilton, Lauren Craig	https://dh2017.adho.org/abstracts/475/475.pdf	cc-by	Distant Seeing TV	television studies, computer vision, media studies
Arora, Shaifali; Menon, Nirmala	https://dh2017.adho.org/abstracts/081/081.pdf	cc-by	1947Partition On The Margins: The Untold Testimonies Of Sikh, Bahawalpur And Marwari Communities	Digital Archive, Preservation, Open Access, 1947Partition Testimonies, Geo-cultural
Arriaga, Eduard; Villar, Andrés; Captain-Hidalgo, Yvone; Martino, Maria Cecilia	https://dh2017.adho.org/abstracts/524/524.pdf	cc-by	Accessing Alternative Histories and Futures: Afro-Latin American Models for the Digital Humanities	Afro-Latin American, Digital Archives, International Organization, Diversity
Bahde, Anne; Crawford, Cole	https://dh2017.adho.org/abstracts/556/556.pdf	cc-by	Data Visualization in Archival Finding Aids: A New Paradigm for Access	Visualization; archives; access; finding aids; modeling
Bailey-Ross, Claire; Beresford, Andrew; Smith, Daniel; Warwick, Claire	https://dh2017.adho.org/abstracts/333/333.pdf	cc-by	Aesthetic Appreciation And Spanish Art: Insights from Eye-Tracking	Eye-Tracking, Museums, Visitor Studies, Aesthetic Appreciation, Spanish Art
Baillot, Anne; Puren, Marie; Riondet, Charles; Romary, Laurent	https://dh2017.adho.org/abstracts/345/345.pdf	cc-by	Access To Cultural Heritage Data: A Challenge For The Digital Humanities	data reuse, standards, open access, cultural heritage
Bamman, David	https://dh2017.adho.org/abstracts/408/408.pdf	cc-by	Natural Language Processing for the Long Tail	natural language processing, linguistic annotation
Barbaresi, Adrien	https://dh2017.adho.org/abstracts/209/209.pdf	cc-by	Toponyms as Entry Points into a Digital Edition: Mapping The Torch (1899-1936)	Geohumanities, Spatial Humanities, Litarary History, Toponym Extraction, Gazetteers
Bardiot, Clarisse	https://dh2017.adho.org/abstracts/635/635.pdf	cc-by	MemoRekall Video Capsules : a combination of both intra and inter-documentary approaches to address the documentation of performing arts.	video, theatre
Bassett, Caroline; Berry, David M.; Fazi, M. Beatrice; Pay, Jack; Roberts, Ben	https://dh2017.adho.org/abstracts/509/509.pdf	cc-by	Critical Digital Humanities and Machine-Learning	Informating, Augmentation, Automation, Critical Digital Humanities, Theory, Philosophy
Bauer, Jean Ann; Symonds, Matthew; Grafton, Anthony; Rampling, Jennifer; Chenoweth, Katie; Flow, Christian	https://dh2017.adho.org/abstracts/583/583.pdf	cc-by	Archeologies of Reading: Modeling and Recreating the Annotation Practices of Gabriel Harvey, John Dee, Jacques Derrida, and the Winthrop Family	annotation, marginalia, book history, derrida
Beals, M. H.	https://dh2017.adho.org/abstracts/500/500.pdf	cc-by	Binary Truths: Developing a Linked Data Model for Historiographical Arguments	history, semantic web, rhetoric, historiography
Beaulieu, Marie-Claire; Baumgardt, Frederik; Almas, Bridget	https://dh2017.adho.org/abstracts/330/330.pdf	cc-by	Perseids and Plokamos: Weaving pedagogy, data models and tools for social network annotation	pedagogy, mythology, social networks, annotation
Beierle, Christoph; Blößner, Norbert; Kruse, Sebastian	https://dh2017.adho.org/abstracts/523/523.pdf	cc-by	Using Methods of Computational Linguistics for Resolving the &#8220;Homeric Question&#8221;	Homer, Homeric Question, Greek Epics, Computational Linguistics
Bellia, Angela	https://dh2017.adho.org/abstracts/106/106.pdf	cc-by	Towards a New Approach in the Study of Ancient Greek Music: The Virtual Reconstruction of an Aulos “Early type” from Sicily	Aulos; Selinunte; New York University; Digital Reconstrauction
Belyak, Gabriel	https://dh2017.adho.org/abstracts/552/552.pdf	cc-by	Pushkin Digital Project	Pushkin, critical edition, popularization, intuitive interface
Benedict, Nora Christine	https://dh2017.adho.org/abstracts/462/462.pdf	cc-by	&#8220;Mapping Borges in the Argentine Publishing Industry (1930-1951)&#8221;	Borges, publishing, mapping, books, materiality
Berens, Kathi Inman	https://dh2017.adho.org/abstracts/595/595.pdf	cc-by	Rewards: Books, Boundedness and Reading in Participatory Culture	playable_books, hypertext, social_media, book_publishing, gender
Bermeitinger, Bernhard; Donig, Simon; Christoforaki, Maria; Freitas, André; Handschuh, Siegfried	https://dh2017.adho.org/abstracts/590/590.pdf	cc-by	Object Classification in Images of Neoclassical Artifacts Using Deep Learning	Neoclassicism, Deep Learning, Furniture, Art History
Berra, Aurélien	https://dh2017.adho.org/abstracts/385/385.pdf	cc-by	Embedding Digital Humanities in a Classics Master Programme	Classics, disciplines, pedagogy, models, digital literacy
Berra, Aurélien; Hannesschläger, Vanessa; Gaffield, Chad; Larrousse, Nicolas; Priddy, Mike; Ribbe, Paulin; Thiel, Carsten	https://dh2017.adho.org/abstracts/075/075.pdf	cc-by	Scaling up Arts and Humanities &#8211; The DARIAH Approach to Data and Services	DARIAH, Interoperability, community, sustainability, teaching
Berthereau, Daniel	https://dh2017.adho.org/abstracts/668/668.pdf	cc-by	Construire sa Bibliothèque Numérique avec l’Outil Libre Omeka pour Valoriser ses Documents Numérisés	digital library, exhibit, publishing, metadata sharing, semantic web
Bevans, Brandon; DeBruhl, Bruce; Khosmood, Foaad	https://dh2017.adho.org/abstracts/329/329.pdf	cc-by	Understanding Botnet-driven Blog Spam: Motivations and Methods	spam, blog spam, botnets
Bhattacharyya, Sayan; Merrill, Christi; Organisciak, Peter; Schmidt, Benjamin; Auvil, Loretta; Aiden, Erez Lieberman; Downie, J. Stephen	https://dh2017.adho.org/abstracts/414/414.pdf	cc-by	Big-Data Oriented Text Analysis For The Humanities: Pedagogical Use Of The HathiTrust+Bookworm Tool	translation, semantics, textuality, distant reading, metadata
Boot, Peter	https://dh2017.adho.org/abstracts/208/208.pdf	cc-by	A Database of Online Book Response and the Nature of the Literary Thriller	online book discussion, database, reader response, online repertoire formation
Boot, Peter; Haentjens Dekker, Ronald; Koolen, Marijn	https://dh2017.adho.org/abstracts/198/198.pdf	cc-by	Facilitating Fine-Grained Open Annotations of Scholarly Sources	annotation, interoperability, modelling, open source
Booth, Alison; Connell, Sarah Elizabeth; Coolahan, Marie-Louise; Boggs, Jeremy; Flanders, Julia; Kelly, David; Mapp, Rennie; Martin, Worthy	https://dh2017.adho.org/abstracts/255/255.pdf	cc-by	Only Connect!: Intertextuality, Circulation, and Networks in Digital Resources for Women’s Writing	intertextuality, reception, biography
Borovsky, Zoe; Horning, Claudia; Childress, Dawn	https://dh2017.adho.org/abstracts/626/626.pdf	cc-by	Libraries and Digital Research: Sharing the Incubator	libraries, training, professional development, research support
Bourget, Nicolle	https://dh2017.adho.org/abstracts/004/004.pdf	cc-by	I Built An App To Revitalize A Language &#8211; Now What?	Language revitalization, Indigenous, ICT, Smartphone
Boyles, Christina; Boyles-Petersen, Andrew	https://dh2017.adho.org/abstracts/463/463.pdf	cc-by	Makers by Mail: Providing Makers Technologies to All	pedagogy, makers, makerspace, prototyping
Braunstein, Laura; Padilla, Thomas; Visconti, Amanda	https://dh2017.adho.org/abstracts/377/377.pdf	cc-by	Hack, Yack, Stack: Access, Culture, and DH Infrastructure	infrastructure, project management, open access, collaboration
Braunstein, Laura; Millspaugh, Scott	https://dh2017.adho.org/abstracts/445/445.pdf	cc-by	DH Uncentered: Fostering Partnerships Within a Digital Humanities Network	project management, paratext, music, literature
Brown, Elspeth; McKinney, Cait	https://dh2017.adho.org/abstracts/382/382.pdf	cc-by	University-Community Digitization Partnerships: Accessing Trans Collections in LGBT Community Archives	LGBT, trans, community archives, digitization, community partnerships
Brown, Susan; Faulkner, Colin; Lemak, Abigel; Warren, Robert	https://dh2017.adho.org/abstracts/580/580.pdf	cc-by	Cultural (Re-)formations: Structuring a Linked Data Ontology for Intersectional Identities	cultural diversity, semantic web, linked data, ontologies
Brown, Susan; Lemak, Abigel; Martin, Kim; Warren, Robert	https://dh2017.adho.org/abstracts/686/686.pdf	cc-by	Advancing Linked Open Data in the Humanities	linked open data, semantic web
Browne, Jeremy	https://dh2017.adho.org/abstracts/601/601.pdf	cc-by	Scaffolded Hermenutica for Literary Scholars with Novice Technical Skills	Hermenutica, Voyant, Text Analysis
Brubaker, Evan Loren; LaFreniere, Brandon Kegan	https://dh2017.adho.org/abstracts/616/616.pdf	cc-by	Puns and Intertextuality: A Digital Approach to Greek Wordplay in Latin Literature	Intertextuality, Wordplay, Data-Mining, Classics, Latin
Buddenbohm, Stefan; Engelhardt, Claudia	https://dh2017.adho.org/abstracts/300/300.pdf	cc-by	Humanities Data Centre (HDC) &#8211; Developing Services for Heterogenous Humanities Research Data	research data, complex research data, research data centre, application preservation
Buechel, Sven; Hellrich, Johannes; Hahn, Udo	https://dh2017.adho.org/abstracts/491/491.pdf	cc-by	The Course of Emotion in Three Centuries of German Text—A Methodological Framework	sentiment analysis, emotion, historical language adaptation, computational lexicology, culturomics
Bulert, Kirill	https://dh2017.adho.org/abstracts/502/502.pdf	cc-by	Optical Character Recognition with a Neural Network Model for Coptic	OCR, Tesseract, Ocropy, Coptic
Buntinx, Vincent; Kaplan, Frédéric; Xanthos, Aris	https://dh2017.adho.org/abstracts/193/193.pdf	cc-by	Layout Analysis on Newspaper Archives	layout evolution, layout transition, eigenpages, bitmap factorial analysis
Burns, Patrick J; Mckee, Gabriel; Ratzan, David M; Elliott, Tom	https://dh2017.adho.org/abstracts/598/598.pdf	cc-by	Mapping Linked Data Subject Headings in the Library Catalog	linked data, MARC, discovery, Pleiades
Buurma, Rachel Sagner	https://dh2017.adho.org/abstracts/332/332.pdf	cc-by	The Preparation Of The Topic Model	topic modeling, literary theory, realism, novel
Bégnis, Hélène; Mounier, Pierre	https://dh2017.adho.org/abstracts/194/194.pdf	cc-by	Athar : Numérisation, Indexation Et Mise En Ligne Enrichie Des Bulletins Du Comité De Conservation Des Monuments De L’Art Arabe (1882-1953)	digitisation, web semantic, ontology, transliteration, corpus
Börner, Ingo; Kohler, Gun-Britt; Looschen, Sünna	https://dh2017.adho.org/abstracts/530/530.pdf	cc-by	Database of Belarusian Periodicals	Belarusian Literature, Periodicals, Table of Contents, TEI Encoding
Büchler, Marco; Eckart, Thomas; Franzini, Greta; Franzini, Emily	https://dh2017.adho.org/abstracts/128/128.pdf	cc-by	A Ten-Year Summary of a SOA-based Micro-services Infrastructure for Linguistic Services	natural language, web services, knowledge discovery, data analysis, software as a service
Calvo Tello, José; Schlör, Daniel; Henny-Krahmer, Ulrike; Schöch, Christof	https://dh2017.adho.org/abstracts/037/037.pdf	cc-by	Neutralising the Authorial Signal in Delta by Penalization: Stylometric Clustering of Genre in Spanish Novels	stylometry, Delta, Spanish novels, genre, subgenre
Casenave, Joana; Marcoux, Yves	https://dh2017.adho.org/abstracts/610/610.pdf	cc-by	La Réception De L’édition Critique Numérique : Accès Multiples Pour Publics Divers ?	édition critique numérique, philologie numérique, réceptions multiples, accès diversifiés aux éditions
Caton, Paul; Ferraro, Ginestra; Figueira, Luis; Hall, Elliott; Jakeman, Neil; Mellen, Pam; Sichani, Anna-Maria; Smithies, James; Vieira, Miguel; Watts, Tim; Westling, Carina	https://dh2017.adho.org/abstracts/044/044.pdf	cc-by	Mechanizing the Humanities? King’s Digital Lab as Critical Experiment	laboratories, infrastructure, diversity, open source, management
Chao, Anne Shen; Li, Qiwei	https://dh2017.adho.org/abstracts/257/257.pdf	cc-by	A New and Improved Method to Text-Mining in Chinese: Closer Language Segmentation in Detecting the Shifting Meaning of Patriotism	Zipf&#8217;s Law, Correlation Coefficient, Chinese, Chen Duxiu, JiebaR
Chen, Shih-Pei; Che, Qun; Cao, Ling; Schäfer, Dagmar; Wang, Hongsu	https://dh2017.adho.org/abstracts/482/482.pdf	cc-by	Treating a Genre as a Database: the Chinese Local Gazetteers, the LG tools, and Research Based on This New Digital Methodology	full text search, visualization, GIS mapping, genre analysis, digital historical methodology
Chen, Su-Yen; Chang, Jason S.; Chang, Hsing-Yu; Kuo, Hsin-Yu; Wu, Yu-Hsuan	https://dh2017.adho.org/abstracts/166/166.pdf	cc-by	The new literacy practice of young Taiwanese writers, illustrators, social innovators, and makers	new literacy, information behavior, text analysis, content analysis, new media
Choiński, Michał; Rybicki, Jan	https://dh2017.adho.org/abstracts/480/480.pdf	cc-by	Networks of the Great Awakenings: Classification of Revival Sermons by Word Usage Statistics	Great Awakening; puritanism; Burrows&#8217;s Delta; distant reading
Chuang, Tyng-Ruey; Liu, Chao-Lin	https://dh2017.adho.org/abstracts/350/350.pdf	cc-by	Remembrance of Contemporary Events: On Setting Up The Sunflower Movement Archive	Contemporary Event, Attribution, Access, Archive, Public Domain
Ciotti, Fabio	https://dh2017.adho.org/abstracts/015/015.pdf	cc-by	Tempi Verbali e Strutture Narrative: l’Analisi Computazionale dei Morfemi Temporali nei Testi Narrativi Italiani tra Realismo e Modernismo	narratology, verbal tenses in text, modernism, realism, text analysis, Italian Literature
Clavaud, Florence; Château-Dutier, Emmanuel	https://dh2017.adho.org/abstracts/396/396.pdf	cc-by	Une Preuve de Concept pour la Sémantisation et la Visualisation Orientée Utilisateur de Données Archivistiques	sémantisation de métadonnées archivistiques, data visualisation, histoire des bibliothèques françaises, histoire des monuments historiques français, Records In Contexts-Ontology
Clement, Tanya E.; Booth, Alison; Cecire, Maria Sachiko; Cordell, Ryan; Posner, Miriam	https://dh2017.adho.org/abstracts/176/176.pdf	cc-by	Challenges for New Infrastructures and Paradigms in DH Curricular Program Development	Pedagogy, curriculum, project-based learning, experiential learning
Clivaz, Claire; Clark, Emily S.; Dilley, Paul; Faull, Katherine; McBride-Lindsey, Rachel; Phillips, Peter	https://dh2017.adho.org/abstracts/021/021.pdf	cc-by	Digital Religion &#8211; Digital Theology	Religious studies, epistemology, multimodality
Cocco, Christelle; Firmenich, Damien; Brandt, Pierre-Yves; Süsstrunk, Sabine	https://dh2017.adho.org/abstracts/061/061.pdf	cc-by	La Localisation du Jaune dans des Dessins de Dieux Réalisés par des Enfants	drawing, psychology, classification, image processing, computer vision
Cock, Michiel; Wilms, Lotte	https://dh2017.adho.org/abstracts/455/455.pdf	cc-by	Digital Humanities Clinics &#8211; Leading Dutch Librarians Into DH	libraries, training, research support
Cole, Nicholas; Abdul-Rahman, Alfie; Mallon, Grace; Howarth, Kate	https://dh2017.adho.org/abstracts/306/306.pdf	cc-by	Quill: Reconstructing the Secretary&#8217;s Desk for the Records of the 1787 Convention	scholarly communication, web application, history, interdisciplinary research, visualization
Coles, Katharine	https://dh2017.adho.org/abstracts/110/110.pdf	cc-by	Getting at Metaphor	visualization, tool, algorithm, metaphor, sound
Cook, Adrian Leigh	https://dh2017.adho.org/abstracts/588/588.pdf	cc-by	Your Own Personal Matrix: Generationally Mediated Realities and the Digital Culture of Choice	mediated reality, performativity, generational theory
Cooney, Charles M.; Gladstone, Clovis	https://dh2017.adho.org/abstracts/383/383.pdf	cc-by	Tracing Swerves Of Influence: Text Reuse And The Reception Of Lucretius In 18th-century England	text reuse, data mining, intellectual influence, 18th-century England, Lucretius
Cordell, Ryan; Smith, David	https://dh2017.adho.org/abstracts/591/591.pdf	cc-by	What News is New?: Ads, Extras, and Viral Texts on the Nineteenth-Century Newspaper Page	newspapers, book history, periodicals, material studies, reprinting
Cowan, T.L.; Rault, Jasmine; McLeod, Dayna; Guzmán, Carina	https://dh2017.adho.org/abstracts/406/406.pdf	cc-by	Queer Infrastructures: Digital Intimacies, Spaces, Affordances and Collaboration	queer, feminist, transgender, transmedia, performance art
Cowls, Josh; Higgins, Evan; Fendt, Kurt	https://dh2017.adho.org/abstracts/573/573.pdf	cc-by	Active Archives: New Modes of Interaction with Online Archives	storytelling, archival research, African American history
Craig-McFeely, Julia; Desmond, Karen; Florin, Ben; Hankinson, Andrew; Kijas, Anna	https://dh2017.adho.org/abstracts/538/538.pdf	cc-by	High-resolution musicology: Capturing and encoding source detail for medieval music	musicology, interoperability
Crawford, Cole Daniel	https://dh2017.adho.org/abstracts/576/576.pdf	cc-by	DHConnections: Examining the Growth of the Digital Humanities Summer Institute Community	data visualization, digital humanities community, Digital Humanities Summer Institute
Crawford, Tim; Page, Kevin; Lewis, David I; De Roure, David	https://dh2017.adho.org/abstracts/371/371.pdf	cc-by	Digital Musicology: Through Research and Teaching	digital musicology, digital humanities pedagogy
Crompton, Constance; Schwartz, Michelle	https://dh2017.adho.org/abstracts/252/252.pdf	cc-by	Beyond the Historic Facade: Skyscrapers, Scapegoats, and the Digital Reclamation of Toronto’s Queer Streetscapes	Queer History, Gentrification, Canada. Graph Databases, Mapping
Croxall, Brian	https://dh2017.adho.org/abstracts/477/477.pdf	cc-by	Digital Humanities from Scratch: A Pedagogy-Driven Investigation of an In-Copyright Corpus	Ernest Hemingway, teaching, topic modeling, undergraduate
Cummings, James C.	https://dh2017.adho.org/abstracts/529/529.pdf	cc-by	A World of Difference: Myths and misconceptions about the TEI	TEI Myths, TEI XML
Cummings, James C.; Hankinson, Andrew	https://dh2017.adho.org/abstracts/539/539.pdf	cc-by	The Bodleian TEI Catalogue Consolidation Project	Manuscripts, Manuscript Description, TEI XML, Legacy Data Migration, Schema Design
Curado Malta, Mariana; Gonzalez-Blanco, Elena; Martínez Cantón, Clara; del Rio, Gimena	https://dh2017.adho.org/abstracts/148/148.pdf	cc-by	A Common Conceptual Model For The Study of Poetry In The Digital Humanities	Metadata Application Profile, Digital repertoire of poetry metrics, interoperability, conceptual model, domain model
Da Sylva, Lyne	https://dh2017.adho.org/abstracts/532/532.pdf	cc-by	Vers les Données Liées : Conséquences Théoriques et Pratiques Pour les Sciences Humaines	linked open data, impact on humanities, semantic web, practical and theoretical issues, metadata
Dabbs, Thomas Winn	https://dh2017.adho.org/abstracts/294/294.pdf	cc-by	The Extended Language of Religious Reform: Marking Up a Register for Early Modern Sermons	early modern, TEI XML, sermons, theology
Dabek, Meredith	https://dh2017.adho.org/abstracts/195/195.pdf	cc-by	“My Name is Lizzie Bennet:” Reading, Participation, and Jane Austen Across Media Platforms	narrative, digital, cybertext, participation, media
Damerow, Julia Luise; Wintergrün, Dirk; Casties, Robert	https://dh2017.adho.org/abstracts/646/646.pdf	cc-by	Let’s Develop an Infrastructure for Historical Research Tools	software development, tool infrastructure, collaboration
Das Gupta, Vinayak	https://dh2017.adho.org/abstracts/251/251.pdf	cc-by	Serendipitous Moments: Building a Geo-located Mobile Application for the Letters of 1916	geo location, context-attribution, mobile applications, interfaces
De Gussem, Jeroen	https://dh2017.adho.org/abstracts/049/049.pdf	cc-by	Bernard of Clairvaux and Nicholas of Montiéramey: Tracing the Secretarial Trail with Stylometry	Bernard of Clairvaux, Nicholas of Montiéramey, Stylometry, Twelfth Century, Scribe
De Roure, David; Willcox, Pip	https://dh2017.adho.org/abstracts/540/540.pdf	cc-by	Numbers into Notes: Digital Prototyping as Close Reading of Ada Lovelace’s ‘Note A’	Ada Lovelace, Analytical Engine, prototyping, algorithmic composition
Declerck, Thierry	https://dh2017.adho.org/abstracts/465/465.pdf	cc-by	Towards a Linked Data Access to Folktales Classified by Thompson’s Motifs and Aarne-Thompson-Uther’s Types	folktales, classification, ontologies, linked data
Declerck, Thierry	https://dh2017.adho.org/abstracts/541/541.pdf	cc-by	Towards an integrated Set of Annotations for Folktales	annotation, folktales, formal models
Derven, Caleb; Keating, John	https://dh2017.adho.org/abstracts/437/437.pdf	cc-by	Modeling Place in Ulysses: Ontologies and Pre-texts	digital editions, GIS, ontologies, modelling
Devaney, Johanna	https://dh2017.adho.org/abstracts/281/281.pdf	cc-by	Automatically Analyzing Recordings of Musical Performances	music performance, recorded music, musicology, popular music
Devaney, Johanna	https://dh2017.adho.org/abstracts/512/512.pdf	cc-by	Leveraging Expert Domain Knowledge to Learn a Representation of Symbolic Music	symbolic music, machine learning, representations
Dickson, Eleanor F.; Tracy, Daniel G.; McIntyre, Sandra; Glushko, Bobby; McDonald, Robert H.; Butler, Brandon; Downie, J. Stephen	https://dh2017.adho.org/abstracts/535/535.pdf	cc-by	Creating a Policy Framework for Analytic Access to In-Copyright Works for Non-Consumptive Research	non-consumptive research, text analysis, access
Dombrowski, Quinn; Gniady, Tassie; Meredith-Lobay, Megan; Simpson, John	https://dh2017.adho.org/abstracts/664/664.pdf	cc-by	High Performance Computing for Photogrammetry and OCR Made Easy	3D modeling, visualization, OCR, high performance computing
Dombrowski, Quinn; Gniady, Tassie; Meredith-Lobay, Megan; Tharsen, Jeffrey; Zickel, Lee	https://dh2017.adho.org/abstracts/564/564.pdf	cc-by	Research Computing&#8217;s Demand for Humanists, and Vice Versa	infrastructure, research computing, careers, computation
Dombrowski, Quinn; Lippincott, Joan; Wetzel, Karen	https://dh2017.adho.org/abstracts/256/256.pdf	cc-by	A Capacity Building Framework for Institutional Digital Humanities Support	program development, infrastructure, organizational models
Donig, Simon; Christoforaki, Maria; Handschuh, Siegfried; Bermeitinger, Bernhard	https://dh2017.adho.org/abstracts/384/384.pdf	cc-by	Neoclassica – an open framework for research in Neoclassicism	Neoclassicism, Ontology, Visuals, Material Culture, Applied Art
Douguet, Marc	https://dh2017.adho.org/abstracts/052/052.pdf	cc-by	L’Extraction Automatique des Motifs Dramaturgiques dans les Séquences de Deux Scènes	drama, theatre, scene-character matrix, pattern
Du, Keli	https://dh2017.adho.org/abstracts/171/171.pdf	cc-by	Authorship of Dream of the Red Chamber: A Topic Modeling Approach	Topic modeling, Dream of the Red Chamber, Classic Chinese novel
Duguid, Timothy Charles; Grumbach, Elizabeth	https://dh2017.adho.org/abstracts/438/438.pdf	cc-by	&#8220;Come Together, Right Now&#8221;: Discovery and Interoperability for Born-Digital Music Scholarship	Aggregation, Authority, Musicology, Digital Scholarship
Dumouchel, Suzanne	https://dh2017.adho.org/abstracts/088/088.pdf	cc-by	How Access Determines The Whole Structuration Of A European Infrastructure: The Example Of DARIAH	DARIAH
Dunst, Alexander; Hartel, Rita	https://dh2017.adho.org/abstracts/047/047.pdf	cc-by	Corpora and Complex Networks as Cultural Critique: Investigating Race and Gender Bias in Graphic Narratives	Comics, networks, cultural studies, gender
Dury, Christian	https://dh2017.adho.org/abstracts/644/644.pdf	cc-by	Séance d&#8217;initiation à la vidéo adaptée à la recherche SHS	image animée-video-captation-tournage-montage
Dussault, Jessica; Weakly, Laura; Dalziel, Karin; Echols, Jeremy; Estlund, Karen M.; Gearhart, Andrew; Rabun, Sheila; Tunink, Greg	https://dh2017.adho.org/abstracts/211/211.pdf	cc-by	Introducing the Open Online Newspaper Initiative	newspapers, open source software, digitization, image server, collaboration
Earhart, Amy; Jones, Steven; McPherson, Tara; Ray Murray, Padmini; Whitson, Roger	https://dh2017.adho.org/abstracts/115/115.pdf	cc-by	Alternate Histories of the Digital Humanities	alternate history, media archaeology, fandom, activism, decolonization
