authors	url (pdf)	licence	title	keywords
Juola, Patrick; Vinsick, Sean	https://dh2017.adho.org/abstracts/210/210.pdf	cc-by	Personality and Politics: Myers-Briggs Personality Types on Twitter in the US 2016 Presidential Election	authorship profiling, demographics, social media, personality
Jänicke, Stefan	https://dh2017.adho.org/abstracts/003/003.pdf	cc-by	On the Impact of the Merseburg Incantations	Merseburg Incantations, magic spells, citation collection, visual exploration system
Jänicke, Stefan; Focht, Josef	https://dh2017.adho.org/abstracts/002/002.pdf	cc-by	Untangling the Social Network of Musicians	Social Network, Interactive Visual Exploration, Musicians&#8217; Biographies, Bayerisches Musiker Lexikon Online
Kameda, Akihiro; Hara, Shoichiro	https://dh2017.adho.org/abstracts/619/619.pdf	cc-by	Constructing Linked Knowledge around Southeast Asian Studies	Linked Open Data, Area Studies
Kapitan, Katarzyna Anna	https://dh2017.adho.org/abstracts/342/342.pdf	cc-by	Network analysis of the manuscript context of Old Icelandic literature	network analysis, Nordic philology, manuscript studies, stylometry, data mining
Karadkar, Unmil; Davis, King	https://dh2017.adho.org/abstracts/687/687.pdf	cc-by	Digital Scholarship and Privacy-sensitive Collections	privacy-sensitive collections, vulnerable populations, digital scholarship, access, ethical and legal issues
Karlin, Jojo; Smyth, Patrick; Zweibel, Stephen; Gold, Matthew K.	https://dh2017.adho.org/abstracts/280/280.pdf	cc-by	DH Box:	pedagogy, infrastructure, virtual computer, cloud, tools
Kaufman, Micki	https://dh2017.adho.org/abstracts/420/420.pdf	cc-by	&#8220;We Have This Space Problem:&#8221; Big Data, Multi-Dimensionality and the Kissinger Correspondence	sonification, three-dimensionality, visualization, text analysis, declassification
Kaufman, Micki; LeBlanc, Zoe; Lincoln, Matthew; Rochat, Yannick; Weingart, Scott B.	https://dh2017.adho.org/abstracts/428/428.pdf	cc-by	Visualizing Futures of Networks in Digital Humanities Research	networks, visualization, interdisciplinary, simulation, interactivity
Kawase, Akihiro	https://dh2017.adho.org/abstracts/116/116.pdf	cc-by	Regional Classification of Traditional Japanese Folk Songs from Southwest Regions	Japanese folk songs, tetrachord theory, data mining
