iso_a3,year,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship
ESP,2015,0.00240696212858878,0.7807593939884091,0.417854919697856,0.9928791198937683,0.0048139237042048606,1.5988787427428166,0.002406961796804961
ESP,2016,0.0016071270850562748,0.07995363598456566,1.8589041302717912,0.3896980525557107,0.07623083431584116,0.5086657273156251,0.0016071267843167751
ESP,2017,0.5262518325544076,1.4147804281965357,1.7995832211308875,0.3211218541036938,1.3002737729620997,2.310135620457001,0.5778532012191134
ESP,2018,0.3432159350340948,1.3759309106389983,0.9893465604400254,0.24665294095757384,3.049920991819817,2.239173625828696,0.005758893443271199
ESP,2019,0.0033363220184884006,0.5717640135165608,0.7669941613081993,0.003359353567550967,0.1625629746898385,2.3219802790942285,0.003336322843097
ESP,2020,0.00101736721020035,0.00305210202835335,0.24965331384252448,0.001017367578848825,0.00203473460472495,0.6588744379502409,0.00101736721020035
EST,2013,0.00037139137275516,0.00111417418811466,0.0007427828153595,0.5385485887527466,0.0007427828502840598,0.0581088931183329,0.00037139137275516
EST,2018,0.0010971785522997,0.0032915354240684,0.0021943569881841003,0.9453457593917848,0.0021943569881841003,0.044779633171856195,0.0010971787851303
ETH,2013,0.8178696036338806,0.0015762125840408999,0.1753001999459228,0.0005254042334854,0.0010508082923478,0.0031524252844971003,0.0005254041170701
FIN,2001,0.0006150417728349,0.0018451249692588002,0.0751690305769443,0.0006150418426841399,0.0950711246347054,0.42606958409305645,0.0006150416331365399
FIN,2003,0.0002043795539066,0.0006131386229147,0.00040875906900810004,0.13475913802782694,0.00040875906900810004,0.19673476688330985,0.00020437949569893335
FIN,2004,0.0002921384293586,0.0008764154335949,0.0005842770042363,0.20280317962169644,0.00058427685871715,0.29456756016588764,0.0002921384293586
FIN,2006,0.0006832620128988666,0.0020497860386966666,0.0013665240257978,0.0006832628666112667,0.0013665237929671333,0.6598340379229435,0.0006832619352886666
FIN,2007,0.0006722193987418667,0.002016658429056333,0.0013444386422633333,0.6306435267130533,0.0013444385646531332,0.02997320036714267,0.0006722194763521334
FIN,2008,0.0003360943228472,0.49563077045604587,0.00067218852927905,0.0003360942355357,0.00067218844196755,0.00201656541321415,0.0003360942355357
FIN,2009,0.0023989374749361497,0.4243621188797985,0.00479787559015655,0.00239893846446645,0.00479787483345685,2.01548449799884,0.0457598271314053
FIN,2010,0.00024811537393056666,0.0007443463740248999,0.0004962307478611333,0.17937729756037393,0.0004962307090560334,0.1517229969419228,0.00024811539333313335
FIN,2011,0.0017634978867135,0.0052904930198562,0.0035269960062575007,0.10169809765648088,0.0035269943764431005,0.9024400011985558,0.9817539455252702
FIN,2012,0.0004808790981769,0.0014426320267373,0.0009617547038940999,0.0004808773810509,0.0009617547621018,0.9951912113174326,0.0004808773228432
FIN,2013,0.0260495394468307,0.0014209570654201001,0.5420465807255823,0.0004736522969324,0.0009473045938647,0.42858835044899,0.0004736524133477
FIN,2014,0.0002742256328929,0.0008226769277825501,0.4059074069664348,0.0582512468099594,0.00054845129488965,0.03392177951172914,0.0002742255455814
FIN,2015,0.0015528136282226333,0.0046584404190066,0.9593118341678442,0.4979717526196813,0.003105626480343233,1.0415317904553372,0.15853437381641317
FIN,2016,0.00047373902634715,0.0014212163223418501,0.0009474777034483,0.00047373890993185,0.00094747752882535,0.4952626283338758,0.00047374036512335
FIN,2017,0.000150664197281,0.00045199267333364,0.000301328394562,0.3977400302886963,0.00030132832471276,0.0009039851021952001,0.000150664197281
FIN,2018,0.0014610145299228496,0.24341959820594616,0.49012047355063265,0.26783567285747245,0.5046039014123379,0.4910983507288611,0.0014610142970922007
FIN,2020,0.0007188091112766,0.0021564278431467,0.00143761838262415,0.9927157654456096,0.0935881009500006,0.4086644874041664,0.0007188093150033999
FRA,2000,0.0010968577116727332,0.0032905734454590665,0.0021937155785658664,0.46023404598236084,0.0021937155009556664,0.19656092580407833,0.0010968575564523333
FRA,2001,0.0356062687933445,0.0739036207960452,0.0002949988265753,0.0001474994060117,0.0002949987974715,0.0035902466333933,0.8861624002456665
FRA,2002,0.08182042534463098,0.06284271749124526,0.6847720614265805,0.0012245755060575666,0.4991014450109407,0.1503137864735128,0.6865916063543409
FRA,2005,0.1327276497613638,0.0050688318733589,0.25138394028181205,0.0016896109445950999,0.0033792210742830003,1.6040611164644356,0.0016896104789338
FRA,2007,0.0006011064979247,0.0018033196683971,0.0012022130540571,0.0006011069053784,0.0012022129958494,0.993988959409762,0.0006011064979247
FRA,2010,0.0014888152945786,0.18627490720245982,0.7973481521476059,0.001488814712502,0.0029776296578346998,0.0089328880421814,0.0014888149453327
FRA,2011,0.00036346382694315,0.00109039136441415,0.12142551902797999,0.0003634638851508,0.0007269276538863,0.3756667705893049,0.00036346379783935
FRA,2012,0.003240147570260842,0.009720442206316161,0.03466234366748121,0.0032401476284685754,0.006480294128061189,2.250388917483205,0.9952980773946778
FRA,2013,0.0006298952697154333,0.695855684384393,0.0012597906364437,0.0006298953085205667,0.0012597904327168667,0.0037793717056042006,0.6299189329147339
FRA,2014,0.15163597046193888,0.17499834218760912,0.37506766333244695,0.3327593325942872,0.003094053978565823,1.2858976228802925,0.001547027025662685
FRA,2015,0.5782327482593246,0.003898824526307233,0.5228948679481011,0.21661039752264816,0.0025992164155467334,0.007797649013809333,0.0012996081495656332
FRA,2016,0.9945399402640761,0.006194440450053362,0.004129626380745179,0.00206481324275932,0.7942490520479621,0.9967573277477628,0.00206481328350474
FRA,2017,1.4828007839547352,1.1849822627259214,0.014522549321796767,1.946791115506009,0.15101566039132427,1.595341219389227,0.33287976147354703
