article,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship
10.1093_llc_fqy081,0.00027457028045315,0.0008237108413594999,0.48814806490554474,0.00027457028045315,0.000549140444491,0.0096553776529616,0.00027457025134935
10.1093_llc_fqy082,0.0001966141474743667,0.0005898424424230666,0.0003932283143512334,0.33038411537806195,0.0003932282173384667,0.0011796846520154669,0.00019661410866923335
10.1093_llc_fqy083,0.00055851257639005,0.0016755374963394,0.49218084127642214,0.0005585126345977,0.0011170252691954001,0.0033510772627777,0.00055851251818235
10.1093_llc_fqy084,6.035248432972857e-05,0.1420725639660044,0.00012070499360560002,6.0352500960485714e-05,0.00012070494787100001,0.0003621148976629858,6.035249264511428e-05
10.1093_llc_fqy085,0.24150346219539645,0.00084485244587985,0.008577696426073051,0.2465394288301468,0.0005632348766083999,0.0016897045716176,0.0002816175110638
10.1093_llc_fqy087,0.0003678724460769,0.0011036173964384,0.0007357449503615,0.10991880297660825,0.0007357448630499999,0.38677036046283303,0.0003678725042846
10.1093_llc_fqz001,0.16876600682735446,0.0010905299568547502,0.0007270199421327,0.0003635100147221,0.05835067477892145,0.270338739530416,0.00036351007292975
10.1093_llc_fqz003,0.00024231152201535,0.00072693471156525,0.00048462310223835,0.0182555206120014,0.0004846230440307,0.4795636574999661,0.0002423114929115
10.1093_llc_fqz004,0.0009474674006924,0.0028424020856617997,0.0018949351506307001,0.1263566017150879,0.0018949352670459998,0.8651162072783336,0.0009474674006924
10.1093_llc_fqz005,0.00012141835177316,0.00036425504367795997,0.0002428366919048,0.00012141842162236001,0.011675959057174602,0.1873527014162391,0.00012141835177316
10.1093_llc_fqz007,0.13668908178806305,0.00134019093820815,0.0964774424792267,0.0004467302933335,0.0008934603829402,0.2637063819274771,0.0004467302933335
10.1093_llc_fqz009,0.0008336486062034,0.1420687049394472,0.1174562157830222,0.0008336481987498,0.001667296688538,0.7363068152917548,0.0008336484315805
10.1093_llc_fqz011,0.00025840464513745,0.09250306311878369,0.0005168092611711,0.3705977499485016,0.00051680920296345,0.0015504273760597,0.03405673429369925
10.1093_llc_fqz014,0.0444800369441509,0.31622644071467204,0.2037749229930341,0.0006446182378567,0.0012892362428827998,0.4329401244758626,0.0006446182378567
10.1093_llc_fqz015,0.0005631929961964333,0.0016895791050046333,0.0011263857595622334,0.0005631929185862333,0.0011263856043418,0.3277014119472975,0.0005631927633658
10.1093_llc_fqz016,0.00021270707657095,0.37558080346207134,0.00042541416769379997,0.00021270707657095,0.00042541403672655,0.10718390555120995,0.0159590598195791
10.1093_llc_fqz017,0.00017668355333926665,0.0005300506406152667,0.000353367087276,0.00017668357274183333,0.00035336706787346666,0.33156649017473677,0.00017668353393673333
10.1093_llc_fqz018,0.3189277648925781,0.0016597557114436,0.0011065038270315999,0.0005532518262043,0.6738799826125614,0.0033195108408104004,0.000553251884412
10.1093_llc_fqz019,0.0004498484486248,0.0013495447055901,0.0008996963733806,0.0004498482740018,0.9937021255900617,0.0026990890619341,0.0004498481575865
10.1093_llc_fqz022,0.4950641393661499,0.00098717425134955,0.0006581162742804001,0.0003290580352768,0.00065811609965745,0.00197434835718005,0.0003290580352768
10.1093_llc_fqz023,9.262455860152e-05,0.00027787365252148,0.0001852491404861,0.03130542039871216,0.16524573457427322,0.00055574731668452,0.0023373557254672
10.1093_llc_fqz027,0.0001371401012875,0.000411420231102925,0.07640967989573252,0.17180749773979187,0.000274280086159675,0.0008228403457905501,0.000137140072183675
10.1093_llc_fqz028,0.000242336129304,0.0007270083297043333,0.0004846722198029,0.00024233614870656668,0.00048467218099780004,0.3309099850594065,0.00024233609049890002
10.1093_llc_fqz029,0.00019479224768776665,0.0005843768012709666,0.00038958455358319995,0.0001947923058954333,0.00038958447597296666,0.33138541106988356,0.00019479232529796668
10.1093_llc_fqz030,9.560365773115001e-05,0.06866868895788987,0.00019120734456613332,0.03571557253599167,0.00019120729605976667,0.0005736219172831166,0.06123075882593788
10.1093_llc_fqz031,0.00046662456588815,0.00139987387228745,0.00093324924819165,0.00046662474051115,0.00093324924819165,0.49533374974271266,0.0004666246823035
10.1093_llc_fqz033,0.0002695481816772,0.0008086446905508,0.0005390964506659,0.13476988673210144,0.0005390964215621,0.36280416391673487,0.0002695481525734
10.1093_llc_fqz035,0.0004531347658485,0.0013594039191956,0.0009062693861778,0.0004531347076408,0.0009062693861777999,0.1508470592088995,0.8450747132301331
10.1093_llc_fqz038,0.00015671145714196667,0.0004701345072438,0.00031342293368649996,0.09630827109018959,0.00031342291428393333,0.23561465179470045,0.00015671145714196667
10.1093_llc_fqz039,0.0006722779362462,0.0020168342743999,0.0013445558142846999,0.0006722778780385,0.0013445563381536,0.9932772366446444,0.0006722778198309
10.1093_llc_fqz042,0.19814299345016478,0.00037140084896233996,0.00024760043015700003,0.00012380019761620002,0.00024760039523242,0.00074280112748956,0.00012380019761620002
10.1093_llc_fqz043,0.1182911619544029,0.0015631797723470002,0.0225570833426899,0.0005210599629208,0.0010421196930109002,0.8555043742526319,0.0005210599047131
10.1093_llc_fqz045,6.797260721213999e-05,0.00020391782163642,0.00013594519114119998,0.19898041486740112,0.00013594516203738,0.00040783552685750007,6.797259557059999e-05
10.1093_llc_fqz046,0.000428220257163,0.33889869414269913,0.0008564404852222,0.000428220257163,0.0008564402814954001,0.15810377686284477,0.000428220257163
10.1093_llc_fqz048,0.0001796299863296,0.0005388899783913667,0.00035926003086686665,0.05933361748854316,0.0003592599920617667,0.2723830451917213,0.0001796299863296
10.1093_llc_fqz050,0.0007104349206201,0.0021313050528987,0.0014208697830326,0.0007104350370354,0.0014208698994479,0.9928956395015117,0.0007104347459971
10.1093_llc_fqz051,0.0002855086349882,0.0008565258273543668,0.0005710172311712666,0.00028550877080606667,0.0005710171535610667,0.33047824302533,0.0002855086155856333
10.1093_llc_fqz052,0.00027665277593765,0.0008299584151245,0.00055330709437835,0.00027665277593765,0.00055330543546,0.49723346918472083,0.00027665274683385
10.1093_llc_fqz053,0.328666885693868,0.0009332929815475333,0.0006221929215825666,0.0003110964704925667,0.0006221930574004333,0.0018665785901246998,0.00031109650929766667
10.1093_llc_fqz054,0.00010596588253974,0.00031789762433616,0.06452808454632758,0.00010596589418128001,0.00021193177672101997,0.1346241936320439,0.00010596589418128001
10.1093_llc_fqz056,0.00025630224263295,0.0007689065823796,0.00051260439795435,0.00025630224263295,0.4453523181437049,0.05259725832729589,0.00025630224263295
10.1093_llc_fqz058,0.0012502884492278,0.2008063480025156,0.0025005767820402,0.2949014008045196,0.0025005766656249,0.4967905746307222,0.0012502884492278
10.1093_llc_fqz059,0.5575876832008362,0.0013213799102231001,0.0008809198625384,0.0004404600767884,0.0008809200080576,0.43844823684776174,0.0004404599312692
10.1093_llc_fqz060,0.0005167667986825,0.0015503005706704,0.0010335336555726,0.0005167667986825,0.9927652478218079,0.003100600733887,0.0005167667986825
10.1093_llc_fqz063,0.0003257394128013,0.0009772181219886,0.0006514787964988,0.4951139092445374,0.00065147865097965,0.0019544362730810503,0.0003257393254898
10.1093_llc_fqz070,0.0004196019435767,0.0012588058598338,0.0008392038289457,0.0004196020890958,0.0008392038871534,0.9958040329220238,0.0004196019435767
10.1093_llc_fqz073,0.0005001390818506,0.0015004152082837001,0.001000276824925,0.0005001384415663,0.9929980594897643,0.0030008307076056003,0.000500138499774
10.1093_llc_fqz074,0.0003907453501597,0.00117223631241355,0.0007814908167347,0.0003907455538865,0.0007814908167347,0.49609256442636257,0.00039074540836735
